Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout,margin,margin%,year
Adilabad,36,GEN,Andhra Pradesh,G. Narayan Reddy,Indian National Congress,"4,04,283","2,20,383",54.5 %,"89,085",40.40%,1962
Adoni,27,GEN,Andhra Pradesh,Pendekanti Venkatasubbaiah,Indian National Congress,"4,19,077","2,52,379",60.2 %,"33,022",13.10%,1962
Agra,433,GEN,Uttar Pradesh [1947 - 1999],Seth Achal Singh,Indian National Congress,"4,33,164","2,75,663",63.6 %,"54,351",19.70%,1962
Ahmedabad,120,GEN,Gujarat,Indulal Kanaiyalal Yagnik,Nutan Maha Gujarat Janta Parisha,"4,33,392","2,70,346",62.4 %,"21,592",8.00%,1962
Ahmednagar,245,GEN,Maharashtra,Motilal Kundanmal Firodya,Indian National Congress,"4,03,913","2,22,091",55.0 %,"14,038",6.30%,1962
Ajmer,346,GEN,Rajasthan,Mukatbehari Lal,Indian National Congress,"4,32,778","2,41,488",55.8 %,"32,143",13.30%,1962
Akbarpur,386,SC,Uttar Pradesh [1947 - 1999],Panna Lal,Indian National Congress,"4,30,435","2,16,781",50.4 %,"45,246",20.90%,1962
Akola,254,GEN,Maharashtra,Mohammad Mohibbul Haq Mohammad Anwarul Haqm,Indian National Congress,"4,50,141","3,03,530",67.4 %,"47,169",15.50%,1962
Aligarh,436,GEN,Uttar Pradesh [1947 - 1999],B. P. Maurya,Republican Party,"4,66,414","2,55,696",54.8 %,"3,025",1.20%,1962
Allahabad,416,GEN,Uttar Pradesh [1947 - 1999],Lal Bahadur Shastri,Indian National Congress,"4,46,090","2,45,210",55.0 %,"68,533",27.90%,1962
Almora,362,GEN,Uttar Pradesh [1947 - 1999],Jang Bahadur Singh,Indian National Congress,"4,01,359","1,09,588",27.3 %,"26,998",24.60%,1962
Alwar,342,GEN,Rajasthan,Kashi Ram,Independent,"4,51,563","2,83,094",62.7 %,"23,116",8.20%,1962
Amalapruam,9,SC,Andhra Pradesh,Bayya Suryanarayana Murthy,Indian National Congress,"4,78,247","3,36,739",70.4 %,"12,570",3.70%,1962
Ambala,318,SC,Punjab,Chuni Lal,Indian National Congress,"4,39,952","2,71,449",61.7 %,"35,834",13.20%,1962
Ambalapuzha,143,GEN,Kerala,P. K. Vasudevan Nair,Communist Party Of India,"4,45,802","3,34,846",75.1 %,"11,233",3.40%,1962
Amravati,255,GEN,Maharashtra,Panjabrao Shamrao Deshmukh,Indian National Congress,"4,75,329","3,49,649",73.6 %,"60,372",17.30%,1962
Amreli,114,GEN,Gujarat,Jayaben Vajubhai Shah,Indian National Congress,"4,18,212","2,26,282",54.1 %,"65,018",28.70%,1962
Amritsar,332,GEN,Punjab,Gurmukh Singh,Indian National Congress,"4,57,869","3,22,823",70.5 %,"14,416",4.50%,1962
Amroha,365,GEN,Uttar Pradesh [1947 - 1999],Hifzul Rahman,Indian National Congress,"4,23,038","2,35,491",55.7 %,"17,192",7.30%,1962
Anakapalli,5,GEN,Andhra Pradesh,Missula Suryanarayanamurthy,Indian National Congress,"4,27,862","2,65,407",62.0 %,"16,010",6.00%,1962
Anand,122,GEN,Gujarat,Kumar Narendrasinh Ranjitsinh Mahida,Swatantra,"4,72,873","3,26,364",69.0 %,"22,729",7.00%,1962
Anantpur,25,GEN,Andhra Pradesh,Osman Ali Khan,Indian National Congress,"4,67,475","3,01,105",64.4 %,"24,868",8.30%,1962
Angul,307,GEN,Orissa,Harekrushna Mahtab,Indian National Congress,"4,45,165",RU,NA,RU,NA,1962
Aruppukkottai,220,GEN,Madras,U. Muthu Ramalinga Thevar,Forward Block,"4,96,604","3,50,870",70.7 %,"19,853",5.70%,1962
Asansol,477,GEN,West Bengal,Atulya Ghosh,Indian National Congress,"4,54,700","1,88,992",41.6 %,"8,844",4.70%,1962
Aurangabad,95,GEN,Bihar [1947 - 1999],Lalita Rajya Laxmi,Swatantra,"4,09,761","1,71,300",41.8 %,"9,761",5.70%,1962
Aurangabad,269,GEN,Maharashtra,Bhaurao Dagdurao Deshmukh,Indian National Congress,"4,55,034","2,29,660",50.5 %,"68,350",29.80%,1962
Ausgram,478,SC,West Bengal,Mono Mohan Das,Indian National Congress,"4,98,990","2,33,065",46.7 %,"23,689",10.20%,1962
